Cosmetic Products Regulation, Annex III - Restricted Substances
Note: Group entries are split in different rows.
Export date: 06/05/2026 21:21:06
Header

"Substance Identifier"	""	



""	""	""	""	"Substance Identification"	"Substance Identification"	"Substance Identification"	"Restrictions"	"Restrictions"	"Restrictions"	"Restrictions"	"Restrictions"	"Restrictions"	"Restrictions"	""	""	
"Name"	"EC / List no"	"CAS no"	"Ref No."	"Name"	"CAS"	"EC Number"	"Product type, body parts"	"Function(s)"	"Maximum Threshold"	"Minimum Threshold"	"Restriction(s)"	"Qualifier(s)"	"Expressed As"	"Warning Label"	"Notes"	
"4,4'-[1,3-Propanediylbis(oxy)]bisbenzene-1,3-diamine tetrahydrochloride salt"	"278-022-7"	"74918-21-1"	"226"	"4,4&#39;-[1,3-Propanediylbis(oxy)]bisbenzene-1,3-diamine tetrahydrochloride salt"	"74918-21-1"	"278-022-7"	"Hair dye substance in oxidative hair dye products"	""	"1.8 %"	""	"After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 1.2 % calculated as free base (1.8 % as tetrahydrochloride salt)"	""	"As tetrahydrochloride salt"	"To be printed on the label: The mixing ratio. &#39;&#39;Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase your risk of allergy. Do not colour your hair if: you have a rash on your face or sensitive, irritated and damaged scalp, you have ever experienced any reaction after colouring your hair, you have experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past.&#39;&#39;"	"The free base and salts of this hair colouring ingredient, unless prohibited under Annex II, are permitted for use"	
"4,4'-[1,3-Propanediylbis(oxy)]bisbenzene-1,3-diamine tetrahydrochloride salt"	"278-022-7"	"74918-21-1"	"226"	"4,4&#39;-[1,3-Propanediylbis(oxy)]bisbenzene-1,3-diamine tetrahydrochloride salt"	"74918-21-1"	"278-022-7"	"Hair dye substance in non-oxidative hair dye products"	""	"1.8 %"	""	""	""	"As tetrahydrochloride salt"	"Can cause allergic reaction"	"The free base and salts of this hair colouring ingredient, unless prohibited under Annex II, are permitted for use"	
"4,5-Diamino-1-(2-hydroxyethyl)-1H-pyrazole sulfate (1:1)"	"429-300-3"	"155601-30-2"	"273"	"4,5-Diamino-1-(2-hydroxyethyl)-1H-pyrazole sulfate (1:1)"	"155601-30-2"	"429-300-3"	"Hair dye substance in oxidative hair dye products"	""	"3 %"	""	"After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 3.0 %"	""	""	"To be printed on the label: The mixing ratio. &#39;&#39;Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase your risk of allergy. Do not colour your hair if: you have a rash on your face or sensitive, irritated and damaged scalp, you have ever experienced any reaction after colouring your hair, you have experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past.&#39;&#39;"	""	
"4-((4-Amino-3-methylphenyl)(4-imino-3-methyl-2,5-cyclohexadien-1-ylidene)methyl)-2-methylphenylamine monohydrochloride;CI 42520"	"221-831-7"	"3248-91-7"	"278"	"CI 425204-((4-Amino-3-methylphenyl)(4-imino-3-methyl-2,5-cyclohexadien-1-ylidene)methyl)-2-methylphenylamine monohydrochloride"	"3248-91-7"	"221-831-7"	"Hair dye substance in non-oxidative hair dye products"	""	"0.5 %"	""	""	""	""	""	""	
"4-((4-Amino-3-methylphenyl)(4-imino-3-methyl-2,5-cyclohexadien-1-ylidene)methyl)-2-methylphenylamine monohydrochloride;CI 42520"	"221-831-7"	"3248-91-7"	"278"	"CI 425204-((4-Amino-3-methylphenyl)(4-imino-3-methyl-2,5-cyclohexadien-1-ylidene)methyl)-2-methylphenylamine monohydrochloride"	"3248-91-7"	"221-831-7"	"Hair dye substance in oxidative hair dye products"	""	"1 %"	""	"After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 1.0 %"	""	""	"To be printed on the label: The mixing ratio. &#39;&#39;Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase your risk of allergy. Do not colour your hair if: you have a rash on your face or sensitive, irritated and damaged scalp, you have ever experienced any reaction after colouring your hair, you have experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past.&#39;&#39;"	""	
"4-(3-Aminopyrazolo[1,5-A]pyridin-2-yl)-1,1-dimethylpiperazin1-ium chloride hydrochloride"	"813-255-5"	"1256553-33-9"	"315"	"4-(3-Aminopyrazolo[1,5-A]pyridin-2-yl)-1,1-dimethylpiperazin1-ium chloride hydrochloride"	"1256553-33-9"	"813-255-5"	"Hair dye substance in oxidative hair dye products"	""	"2 %"	""	"As from 3 June 2021, after mixing under oxidative conditions the maximum concentration applied to hair must not exceed 2% (calculated as free base)"	""	"As free base"	"As from 3 December 2021, to be printed on the label: The mixing ratio. &#39;&#39;Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase your risk of allergy. Do not colour your hair if: you have a rash on your face or sensitive, irritated and damaged scalp, you have ever experienced any reaction after colouring your hair, you have experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past.&#39;&#39;"	""	
"4-[(2-Hydroxyethyl)amino]-3-nitrophenol"	"265-648-0"	"65235-31-6"	"248"	"4-[(2-Hydroxyethyl)amino]-3-nitrophenol"	"65235-31-6"	"265-648-0"	"Hair dye substance in non-oxidative hair dye products"	""	"1.85 %"	""	"Do not use with nitrosating agentsMaximum nitrosamine content: 50 μg /kgKeep in nitrite-free containers"	""	""	"&#39;&#39;Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase your risk of allergy. Do not colour your hair if: you have a rash on your face or sensitive, irritated and damaged scalp, you have ever experienced any reaction after colouring your hair, you have experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past.&#39;&#39;"	""	
"4-[(2-Hydroxyethyl)amino]-3-nitrophenol"	"265-648-0"	"65235-31-6"	"248"	"4-[(2-Hydroxyethyl)amino]-3-nitrophenol"	"65235-31-6"	"265-648-0"	"Hair dye substance in oxidative hair dye products"	""	"3 %"	""	"After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 3.0 %Do not use with nitrosating agentsMaximum nitrosamine content: 50 μg /kgKeep in nitrite-free containers"	""	""	"To be printed on the label: The mixing ratio. &#39;&#39;Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase your risk of allergy. Do not colour your hair if: you have a rash on your face or sensitive, irritated and damaged scalp, you have ever experienced any reaction after colouring your hair, you have experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past.&#39;&#39;"	""	
"4-[(2-Nitrophenyl)amino]phenol"	"259-132-4"	"54381-08-7"	"256"	"4-[(2-Nitrophenyl)amino]phenol"	"54381-08-7"	"259-132-4"	"Hair dye substance in non-oxidative hair dye products"	""	"1 %"	""	""	""	""	""	""	
"4-Amino-3-nitrophenol"	"210-236-8"	"610-81-1"	"215"	"4-Amino-3-nitrophenol"	"610-81-1"	"210-236-8"	"Hair dye substance in oxidative hair dye products"	""	"1.5 %"	""	"After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 1.5 %"	""	""	"To be printed on the label: The mixing ratio. &#39;&#39;Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase your risk of allergy. Do not colour your hair if: you have a rash on your face or sensitive, irritated and damaged scalp. you have ever experienced any reaction after colouring your hair, you have experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past.&#39;&#39;"	""	
"4-Amino-3-nitrophenol"	"210-236-8"	"610-81-1"	"215"	"4-Amino-3-nitrophenol"	"610-81-1"	"210-236-8"	"Hair dye substance in non-oxidative hair dye products"	""	"1 %"	""	""	""	""	"&#39;&#39;Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase your risk of allergy. Do not colour your hair if: you have a rash on your face or sensitive, irritated and damaged scalp, you have ever experienced any reaction after colouring your hair, you have experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past.&#39;&#39;"	""	
"4-Amino-5-hydroxy-3-(4-nitrophenylazo)-6-(phenylazo)-2,7-naphthalenedisulfonic acid, disodium salt"	"213-903-1"	"1064-48-8"	"295"	"4-Amino-5-hydroxy-3-(4-nitrophenylazo)-6-(phenylazo)-2,7-naphthalenedisulfonic acid, disodium salt"	"1064-48-8"	"213-903-1"	"Hair dye substance in non-oxidative hair dye products"	""	"0.5 %"	""	""	""	""	""	""	
"4-Amino-m-cresol"	"220-621-2"	"2835-99-6"	"244"	"4-Amino-m-cresol"	"2835-99-6"	"220-621-2"	"Professional use cosmetic products for coloring eyelashes"	""	"1.5 %"	""	"After mixing under oxidative conditions the maximum concentration applied to hair or eyelashes must not exceed 1.5 %For professional use only"	""	""	"To be printed on the label: The mixing ratio. &#39;&#39;For professional use only. This product can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase the risk of allergy. Eyelashes shall not be coloured if the consumer: has a rash on the face or sensitive, irritated and damaged scalp, has experienced any reaction after colouring hair or eyelashes, has experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past. Rinse eyes immediately if product comes into contact with them.&#39;&#39;"	""	
"4-Amino-m-cresol"	"220-621-2"	"2835-99-6"	"244"	"4-Amino-m-cresol"	"2835-99-6"	"220-621-2"	"Hair dye substance in oxidative hair dye products"	""	"1.5 %"	""	"After mixing under oxidative conditions the maximum concentration applied to hair or eyelashes must not exceed 1.5 %"	""	""	"To be printed on the label: The mixing ratio. &#39;&#39;Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase your risk of allergy. Do not colour your hair if: you have a rash on your face or sensitive, irritated and damaged scalp, you have ever experienced any reaction after colouring your hair, you have experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past.&#39;&#39;"	""	
"4-Aminophenol"	"204-616-2"	"123-30-8"	"272"	"4-Aminophenol"	"123-30-8"	"204-616-2"	"Professional use cosmetic products for coloring eyelashes"	""	"0.9 %"	""	"After mixing under oxidative conditions the maximum concentration applied to hair or eyelashes must not exceed 0.9 %For professional use only"	""	""	"As from 3 March 2018, to be printed on the label: The mixing ratio. &#39;&#39;This product can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase your risk of allergy. Do not colour your eyelashes if: you have a rash on your face or sensitive, irritated and damaged scalp, you have ever experienced any reaction after colouring your hair or eyelashes, you have experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past. For professional use only. Rinse eyes immediately if product comes into contact with them.&#39;&#39;"	""	
"4-Aminophenol"	"204-616-2"	"123-30-8"	"272"	"4-Aminophenol"	"123-30-8"	"204-616-2"	"Hair dye substance in oxidative hair dye products"	""	"0.9 %"	""	"After mixing under oxidative conditions the maximum concentration applied to hair or eyelashes must not exceed 0.9 %"	""	""	"To be printed on the label: The mixing ratio. &#39;&#39;Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase your risk of allergy. Do not colour your hair if: you have a rash on your face or sensitive, irritated and damaged scalp, you have ever experienced any reaction after colouring your hair, you have experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past.&#39;&#39;"	""	
"4-Hydroxy-2,5,6-triaminopyrimidine sulfate"	"216-500-9"	"1603-02-7"	"301"	"4-Hydroxy-2,5,6-triaminopyrimidine sulfate"	"1603-02-7"	"216-500-9"	"Hair dye substance in oxidative hair dye products"	""	"0.5 %"	""	"After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 0.5 %"	""	""	"As from 3 March 2018: &#39;&#39;Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase your risk of allergy. Do not colour your hair if: you have a rash on your face or sensitive, irritated and damaged scalp, you have ever experienced any reaction after colouring your hair, you have experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past.&#39;&#39;"	""	
"4-Hydroxy-3-methoxybenzaldehyde"	"204-465-2"	"121-33-5"	"346"	"4-Hydroxy-3-methoxybenzaldehyde"	"121-33-5"	"204-465-2"	"All cosmetic products"	""	""	""	"The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)(g) when its concentration exceeds: 0.001% in leave-on products and 0.01 % in rinse-off products"	""	""	""	"Cosmetic products containing that substance that do not comply with the restrictions may be placed on the Union market until 31 July 2026 and made available on the Union market until 31 July 2028"	
"4-Hydroxyphenyl-alpha-D-glucopyranoside"	"617-561-8"	"84380-01-8"	"377"	"4-Hydroxyphenyl-alpha-D-glucopyranoside"	"84380-01-8"	"617-561-8"	"Face cream"	""	"2 %"	""	"Hydroquinone levels shall remain as low as possible in formulations containing the substance and shall not be higher than the unavoidable trace level"	""	""	""	"From 1 February 2025 cosmetic products containing that substance and not complying with the conditions shall not be placed on the Union market. From 1 November 2025 cosmetic products containing that substance and not complying with the conditions shall not be made available on the Union market"	
"4-Hydroxyphenyl-alpha-D-glucopyranoside"	"617-561-8"	"84380-01-8"	"377"	"4-Hydroxyphenyl-alpha-D-glucopyranoside"	"84380-01-8"	"617-561-8"	"Body lotion"	""	"0.5 %"	""	"Hydroquinone levels shall remain as low as possible in formulations containing the substance and shall not be higher than the unavoidable trace level"	""	""	""	"From 1 February 2025 cosmetic products containing that substance and not complying with the conditions shall not be placed on the Union market. From 1 November 2025 cosmetic products containing that substance and not complying with the conditions shall not be made available on the Union market"	
"4-Hydroxyphenyl-beta-D-glucopyranoside"	"207-850-3"	"497-76-7"	"378"	"4-Hydroxyphenyl-beta-D-glucopyranoside"	"497-76-7"	"207-850-3"	"Face cream"	""	"7 %"	""	"Hydroquinone levels shall remain as low as possible in formulations containing the substance and shall not be higher than the unavoidable trace level"	""	""	""	"From 1 February 2025 cosmetic products containing that substance and not complying with the conditions shall not be placed on the Union market. From 1 November 2025 cosmetic products containing that substance and not complying with the conditions shall not be made available on the Union market"	
"4-Methoxybenzyl alcohol"	"203-273-6"	"105-13-5"	"80"	"4-Methoxybenzyl alcohol"	"105-13-5"	"203-273-6"	"All cosmetic products"	""	""	""	"The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)(g) when its concentration exceeds: 0.001% in leave-on products and 0.01 % in rinse-off products"	""	""	""	""	
