46,N-(Hydroxymethyl)-N-,DIAZOLIDINYL UREA,78491-02-8,278-928-2,0.5%,,,,02/08/2021
,"(dihydroxymethyl-1,3-dioxo-2,5-",,,,,,,,
,imidazolidinyl-4)-N'-,,,,,,,,
,(hydroxymethyl)urea,,,,,,,,
47,"Benzenecarboximidamide, 4,4'-",HEXAMIDINE / HEXAMIDINE,3811-75-4 /,- / 211-533-5,0.1%,,,,25/10/2010
,"(1,6-hexanediylbis(oxy))bis-, and",DIISETHIONATE / HEXAMIDINE,659-40-5 /,/ 299-055-3,,,,,
,its salts (including isothionate,DIPARABEN / HEXAMIDINE,93841-83-9 /,/ -,,,,,
,and p-hydroxybenzoate),PARABEN,-,,,,,,
48,"Glutaraldehyde (Pentane-1,5-",GLUTARAL,111-30-8,203-856-5,0.1%,Not to be used in aerosols,Contains glutaral (9),,25/10/2010
,dial),,,,,(sprays),,,
49,"5-Ethyl-3,7-dioxa-1-",7-ETHYLBICYCLOOXAZOLIDINE,7747-35-5,231-810-4,0.3%,Not to be used in oral products,,,02/08/2021
,azabicyclo[3.3.0] octane,,,,,and in products applied on,,,
,,,,,,mucous membranes,,,
50,"3-(p-Chlorophenoxy)-propane-1,2-",chlorphenesin,104-29-0,203-192-6,0.3%,,,,16/10/2010
,diol,,,,,,,,
51,Sodium hydroxymethylamino,SODIUM,70161-44-3,274-357-8,0.5%,Not to be used if the maximum,,,04/11/2021
,acetate,HYDROXYMETHYLGLYCINATE,,,,theoretical concentration of,,,
,,,,,,"releasable formaldehyde,",,,
,,,,,,"irrespective of the source, if the",,,
,,,,,,mixture as placed on the market,,,
,,,,,,"is ≥ 0,1 % w/w",,,
52,Silver chloride deposited on,SILVER CHLORIDE,7783-90-6,232-033-3,0.004% (as AgCl),20% AgCl (w/w) on TiO2.,,,16/10/2010
,titanium dioxide,,,,,Not to be used in products for,,,
,,,,,,"children under 3 years of age, in",,,
,,,,,,oral products and in eye and lip,,,
,,,,,,products,,,
